verb,3s preterit,3pl preterit,3s perfect,3pl perfect
kwajkwawi,kwajkwawki / kwajkwajki,kwajkwawket / kwajkwajket,kwajkwawtuk / kwajkwajtuk,kwajkwawtiwit / kwajkwajtiwit
kwalani,kwalanki / kwalanik,kwalanket / kwalaniket,kwalantuk,kwalantiwit
kwal/nesi,kwalneski / kwalnesik,kwalnesket / kwalnesiket,kwalnestuk,kwalnestiwit
-kwal/neki,kikwalnek / kikwalnekik,kikwalnekket / kikwalnekiket,kikwalnektuk,kikwalnektiwit
-kwal/ketza,kikwalketzki,kikwalketzket,kikwalketztuk,kikwalketztiwit
kwal/tiya,kwaltishki / kwaltiyak,kwaltishket / kwaltiyaket,kwaltishtuk / kwaltiyatuk,kwaltishtiwit / kwaltiyatiwit
-kwa/mana,kikwaman(ki),kikwamanket,kikwamantuk,kikwamantiwit
-kwa/muta,kikwamutki / kikwamutak,kikwamutket / kikwamutaket,kikwamuttuk / kikwamutatuk,kikwamuttiwit / kikwamutatiwit
-kwa/pijpi,kikwapijpij,kikwapijpijket,kikwapijpijtuk,kikwapijpijtiwit
kwawti,kwawtik,kwawtiket,kwawtituk,kwawtitiwit
kwechawa,kwechawki / kwechajki / kwechawak,kwechawket / kwechajket / kwechawaket,kwechawtuk / kwechajtuk / kwechawatuk,kwechawtiwit / kwechajtiwit / kwechawatiwit
kwechawi,kwechawik,kwechawket / kwechajket,kwechawtuk / kwechajtuk,kwechawtiwit / kwechajtiwit
-kwekwepa,kikwekwepki,kikwekwepket,kikwekweptuk,kikwekweptiwit
kweliwi,kweliwik,kweliwket / kwelijket,kweliwtuk / kwelijtuk,kweliwtiwit / kwelijtiwit
-kwelua,kikweluj,kikwelujket,kikwelujtuk,kikwelujtiwit
kwemuni,kwemunki / kwemunik,kwemunket / kwemuniket,kwemuntuk,kwemuntiwit
kwepuni,kwepunki / kwepunik,kwepunket / kwepuniket,kwepuntuk,kwepuntiwit
-kwetia,kikwetij,kikwetijket,kikwetijtuk,kikwetijtiwit
kwetawi,kwetawik,kwetawket / kwetajket,kwetawtuk / kwetajtuk,kwetawtiwit / kwetajtiwit
kwetani,kwetanki / kwetanik,kwetanket / kwetaniket,kwetantuk,kwetantiwit
-kwilia,kikwilij,kikwilijket,kikwilijtuk,kikwilijtiwit
-kwinatza,kikwinatzki / kikwinatzak,kikwinatzket / kikwinatzaket,kikwinatztuk / kikwinatzatuk,kikwinatztiwit / kikwinatzatiwit
-kwitia,kikwitij,kikwitijket,kikwitijtuk,kikwitijtiwit
