verb,3s preterit,3pl preterit,3s perfect,3pl perfect
ilnamikilia,ilnamikilij,ilnamikilijket,ilnamikilijtuk,ilnamikilijtiwit
-istakua,kistakuj,kistakujket,kistakujtuk,kistakujtiwit
-achtupawia,kiachtupawij,kiachtupawijket,kiachtupawijtuk,kiachtupawijtiwit
-ajsikaitta,kiajsikaittak,kiajsikaittaket,kiajsikaittatuk,kiajsikaittatiwit
ajwachkiyawi,ajwachkiyawik,ajwachkiyawket / ajwachkiyajket,ajwachkiyawtuk / ajwachkiyajtuk,ajwachkiyawtiwit / ajwachkiyajtiwit
ajwachtelawi,ajwachtelawik,ajwachtelawket / ajwachtelajket,ajwachtelawtuk / ajwachtelajtuk,ajwachtelawtiwit / ajwachtelajtiwit
-awatzetzelua,kiawatzetzeluj,kiawatzetzelujket,kiawatzetzelujtuk,kiawatzetzelujtiwit
-awilkishtia,kiawilkishtij,kiawilkishtijket,kiawilkishtijtuk,kiawilkishtijtiwit
aijiyumiki,aijiyumikik,aijiyumikiket,aijiyumiktuk,aijiyumiktiwit
amaishmati,amaishmatki / amaishmatik,amaishmatket / amaishmatiket,amaishmattuk / amaishmatituk,amaishmattiwit / amaishmatitiwit
apujpushua,apujpushuj,apujpushujket,apujpushujtuk,apujpushujtiwit
-atakushunia,kiatakushunij,kiatakushunijket,kiatakushunijtuk,kiatakushunijtiwit
ashkawajkati,ashkawajkatki / ashkawajkatik,ashkawajkatket / ashkawajkatiket,ashkawajkattuk / ashkawajkatituk,ashkawajkattiwit / ashkawajkatitiwit
ayakachua,ayakachuj,ayakachujket,ayakachujtuk,ayakachujtiwit
-ayutzinkwepa,kiayutzinkwep(ki) / kiayutzinkwepak,kiayutzinkwepket / kiayutzinkwepaket,kiayutzinkweptuk / kiayutzinkwepatuk,kiayutzinkweptiwit / kiayutzinkwepatiwit
askakwalua,askakwaluj,askakwalujket,askakwalujtuk,askakwalujtiwit
kamanekwiliwi,kamanekwiliwik,kamanekwiliwket / kamanekwilijket,kamanekwiliwtuk / kamanekwilijtuk,kamanekwiliwtiwit / kamanekwilijtiwit
-kamateliska,kikamateliskak,kikamateliskaket,kikamateliskatuk,kikamateliskatiwit
-kamatushkua,kikamatushkuj,kikamatushkujket,kikamatushkujtuk,kikamatushkujtiwit
-kamujtijtishia,kikamujtijtishij,kikamujtijtishijket,kikamujtijtishijtuk,kikamujtijtishijtiwit
kampashilwia,kampashilwij,kampashilwijket,kampashilwijtuk,kampashilwijtiwit
-kampashua,kikampashuj,kikampashujket,kikampashujtuk,kikampashujtiwit
-kakistilia,kikakistilij,kikakistilijket,kikakistilijtuk,kikakistilijtiwit
-sejsepanua,kisejsepanuj,kisejsepanujket,kisejsepanujtuk,kisejsepanujtiwit
senilwitia,senilwitij,senilwitijket,senilwitijtuk,senilwitijtiwit
-senmaktia,kisenmaktij,kisenmaktijket,kisenmaktijtuk,kisenmaktijtiwit
-senchichilia,kisenchichilij,kisenchichilijket,kisenchichilijtuk,kisenchichilijtiwit
-sentetilia,kisentetilij,kisentetilijket,kisentetilijtuk,kisentetilijtiwit
chichikwejeyi,chichikwejeshki / chichikwejeyik,chichikwejeshket / chichikwejeyiket,chichikwejeshtuk,chichikwejeshtiwit
-chikuijtua,kichikuijtuj,kichikuijtujket,kichikuijtujtuk,kichikuijtujtiwit
chikutajtua,chikutajtuj,chikutajtujket,chikutajtujtuk,chikutajtujtiwit
chinampejpena,chinampejpenki / chinampejpenak,chinampejpenket / chinampejpenaket,chinampejpentuk,chinampejpentiwit
chikilewtzajtzi,chikilewtzajtzik,chikilewtzajtziket,chikilewtzajtzituk,chikilewtzajtzitiwit
-chukistilia,kichukistilij,kichukistilijket,kichukistilijtuk,kichukistilijtiwit
-kuchkayutia,kikuchkayutij,kikuchkayutijket,kikuchkayutijtuk,kikuchkayutijtiwit
kuchpachiwi,kuchpachiwik,kuchpachiwket / kuchpachijket,kuchpachiwtuk / kuchpachijtuk,kuchpachiwtiwit / kuchpachijtiwit
kuchtamelawa,kuchtamelawki / kuchtamelajki,kuchtamelawket / kuchtamelajket,kuchtamelawtuk / kuchtamelajtuk,kuchtamelawtiwit / kuchtamelajtiwit
kukujpusawi,kukujpusaw(ki) / kukujpusaj(ki),kukujpusawket / kukujpusajket,kukujpusawtuk / kukujpusajtuk,kukujpusawtiwit / kukujpusajtiwit
-kukunechijchiwa,kikukunechijchiw(ki) / kikukunechijchij(ki),kikukunechijchiwket / kikukunechijchijket,kikukunechijchiwtuk / kikukunechijchijtuk,kikukunechijchiwtiwit / kikukunechijchijtiwit
-kukuyewalua,kikukuyewaluj,kikukuyewalujket,kikukuyewalujtuk,kikukuyewalujtiwit
-kututztalia,kikututztalij,kikututztalijket,kikututztalijtuk,kikututztalijtiwit
-kwajkwakwajtimani,kikwajkwakwajtiman(ki),kikwajkwakwajtimanket,kikwajkwakwajtimantuk,kikwajkwakwajtimantiwit
-kwaitztilia,kikwaitztilij,kikwaitztilijket,kikwaitztilijtuk,kikwaitztilijtiwit
-kwamumutzua,kikwamumutzuj,kikwamumutzujket,kikwamumutzujtuk,kikwamumutzujtiwit
-kwapatachua,kikwapatachuj,kikwapatachujket,kikwapatachujtuk,kikwapatachujtiwit
-kwapipinua,kikwapipinuj,kikwapipinujket,kikwapipinujtuk,kikwapipinujtiwit
kwatapulultia,kwatapulultij,kwatapulultijket,kwatapulultijtuk,kwatapulultijtiwit
-kwatutunilia,kikwatutunilij,kikwatutunilijket,kikwatutunilijtuk,kikwatutunilijtiwit
-kwawpitzua,kikwawpitzuj,kikwawpitzujket,kikwawpitzujtuk,kikwawpitzujtiwit
kwawtapua,kwawtapuj,kwawtapujket,kwawtapujtuk,kwawtapujtiwit
-kwawtzikua,kikwawtzikuj,kikwawtzikujket,kikwawtzikujtuk,kikwawtzikujtiwit
-kwashamanilia,kikwashamanilij,kikwashamanilijket,kikwashamanilijtuk,kikwashamanilijtiwit
-kwayekachua,kikwayekachuj,kikwayekachujket,kikwayekachujtuk,kikwayekachujtiwit
-kwikwitawiltia,kikwikwitawiltij,kikwikwitawiltijket,kikwikwitawiltijtuk,kikwikwitawiltijtiwit
-kwitapanwia,kikwitapanwij,kikwitapanwijket,kikwitapanwijtuk,kikwitapanwijtiwit
-ejkawtilia,kiejkawtilij,kiejkawtilijket,kiejkawtilijtuk,kiejkawtilijtiwit
elsiijsiwi,elsiijsiwik,elsiijsiwket / elsiijsijket,elsiijsiwtuk / elsiijsijtuk,elsiijsiwtiwit / elsiijsijtiwit
-eltelkishtia,kieltelkishtij,kieltelkishtijket,kieltelkishtijtuk,kieltelkishtijtiwit
wejkapaniwi,wejkapaniwik,wejkapaniwket / wejkapanijket,wejkapaniwtuk / wejkapanijtuk,wejkapaniwtiwit / wejkapanijtiwit
-wejkapanua,kiwejkapanuj,kiwejkapanujket,kiwejkapanujtuk,kiwejkapanujtiwit
-wejkatanua,kiwejkatanuj,kiwejkatanujket,kiwejkatanujtuk,kiwejkatanujtiwit
wejshuluilama,wejshuluilanki / wejshuluilamak,wejshuluilanket / wejshuluilamaket,wejshuluilantuk / wejshuluilamatuk,wejshuluilantiwit / wejshuluilamatiwit
-weltamachtia,kiweltamachtij,kiweltamachtijket,kiweltamachtijtuk,kiweltamachtijtiwit
-wijwishtilia,kiwijwishtilij,kiwijwishtilijket,kiwijwishtilijtuk,kiwijwishtilijtiwit
-wiwitatzua,kiwiwitatzuj,kiwiwitatzujket,kiwiwitatzujtuk,kiwiwitatzujtiwit
-wilantiwetzi,kiwilantiwetz(ki) / kiwilantiwetzik,kiwilantiwetzket / kiwilantiwetziket,kiwilantiwetztuk / kiwilantiwetzituk,kiwilantiwetztiwit / kiwilantiwetzitiwit
-ijiyukwitia,kijiyukwitij,kijiyukwitijket,kijiyukwitijtuk,kijiyukwitijtiwit
-ijmatkachiwa,kijmatkachiw(ki) / kijmatkachij(ki),kijmatkachiwket / kijmatkachijket,kijmatkachiwtuk / kijmatkachijtuk,kijmatkachiwtiwit / kijmatkachijtiwit
-ijmatkanemi,kijmatkanen(ki) / kijmatkanemik,kijmatkanenket / kijmatkanemiket,kijmatkanentuk / kijmatkanemituk,kijmatkanentiwit / kijmatkanemitiwit
ilakatziwi,ilakatziwik,ilakatziwket / ilakatzijket,ilakatziwtuk / ilakatzijtuk,ilakatziwtiwit / ilakatzijtiwit
-ilakatzua,kilakatzuj,kilakatzujket,kilakatzujtuk,kilakatzujtiwit
-iliwiswia,kiliwiswij,kiliwiswijket,kiliwiswijtuk,kiliwiswijtiwit
iliwistajtzi,iliwistajtzik,iliwistajtziket,iliwistajtzituk,iliwistajtzitiwit
imakashilia,imakashilij,imakashilijket,imakashilijtuk,imakashilijtiwit
-ipantilia,kipantilij,kipantilijket,kipantilijtuk,kipantilijtiwit
ishakamana,ishakamanki / ishakamanak,ishakamanket / ishakamanaket,ishakamantuk,ishakamantiwit
-ishawiltia,kishawiltij,kishawiltijket,kishawiltijtuk,kishawiltijtiwit
ishayuchuka,ishayuchukak,ishayuchukaket,ishayuchukatuk,ishayuchukatiwit
-ishkajkayawa,kishkajkayaw(ki) / kishkajkayaj(ki),kishkajkayawket / kishkajkayajket,kishkajkayawtuk / kishkajkayajtuk,kishkajkayawtiwit / kishkajkayajtiwit
ishchichilewi,ishchichilewki / ishchichilejki,ishchichilewket / ishchichilejket,ishchichilewtuk / ishchichilejtuk,ishchichilewtiwit / ishchichilejtiwit
-ishkukua,kishkukuj,kishkukujket,kishkukujtuk,kishkukujtiwit
-ishkwatewia,kishkwatewij,kishkwatewijket,kishkwatewijtuk,kishkwatewijtiwit
-ishkwejchulwia,kishkwejchulwij,kishkwejchulwijket,kishkwejchulwijtuk,kishkwejchulwijtiwit
-ishelewia,kishelewij,kishelewijket,kishelewijtuk,kishelewijtiwit
ishwewetzka,ishwewetzkak,ishwewetzkaket,ishwewetzkatuk,ishwewetzkatiwit
-ishwintia,kishwintij,kishwintijket,kishwintijtuk,kishwintijtiwit
ishmantiti,ishmantitik,ishmantitiket,ishmantitituk,ishmantititiwit
-ishmatilua,kishmatiluj,kishmatilujket,kishmatilujtuk,kishmatilujtiwit
-ishmawtia,kishmawtij,kishmawtijket,kishmawtijtuk,kishmawtijtiwit
-ishmawtia,kishmawtij,kishmawtijket,kishmawtijtuk,kishmawtijtiwit
-ishmiktia,kishmiktij,kishmiktijket,kishmiktijtuk,kishmiktijtiwit
-ishnawatia,kishnawatij,kishnawatijket,kishnawatijtuk,kishnawatijtiwit
ishpachiwi,ishpachiwik,ishpachiwket / ishpachijket,ishpachiwtuk / ishpachijtuk,ishpachiwtiwit / ishpachijtiwit
-ishpantia,kishpantij,kishpantijket,kishpantijtuk,kishpantijtiwit
ishpepetuni,ishpepetunki / ishpepetunik,ishpepetunket / ishpepetuniket,ishpepetuntuk,ishpepetuntiwit
-ishpetzalwia,kishpetzalwij,kishpetzalwijket,kishpetzalwijtuk,kishpetzalwijtiwit
-ishpetzua,kishpetzuj,kishpetzujket,kishpetzujtuk,kishpetzujtiwit
ishpujpuliwi,ishpujpuliwki / ishpujpulijki,ishpujpuliwket / ishpujpulijket,ishpujpuliwtuk / ishpujpulijtuk,ishpujpuliwtiwit / ishpujpulijtiwit
ishpupuyuti,ishpupuyutki / ishpupuyutik,ishpupuyutket / ishpupuyutiket,ishpupuyuttuk / ishpupuyutituk,ishpupuyuttiwit / ishpupuyutitiwit
-ishtemua,kishtemuj,kishtemujket,kishtemujtuk,kishtemujtiwit
ishtisewi,ishtisewik,ishtisewket / ishtisejket,ishtisewtuk / ishtisejtuk,ishtisewtiwit / ishtisejtiwit
ishtakchichi,ishtakchichij,ishtakchichijket,ishtakchichijtuk,ishtakchichijtiwit
ishtajtayuwa,ishtajtayuwki / ishtajtayujki,ishtajtayuwket / ishtajtayujket,ishtajtayuwtuk / ishtajtayujtuk,ishtajtayuwtiwit / ishtajtayujtiwit
ishtawelmiki,ishtawelmikik,ishtawelmikiket,ishtawelmiktuk,ishtawelmiktiwit
-ishtasulwia,kishtasulwij,kishtasulwijket,kishtasulwijtuk,kishtasulwijtiwit
ishtusua,ishtusuj,ishtusujket,ishtusujtuk,ishtusujtiwit
-ishtzakwilia,kishtzakwilij,kishtzakwilijket,kishtzakwilijtuk,kishtzakwilijtiwit
-ishtzupinia,kishtzupinij,kishtzupinijket,kishtzupinijtuk,kishtzupinijtiwit
-ishtzutzulua,kishtzutzuluj,kishtzutzulujket,kishtzutzulujtuk,kishtzutzulujtiwit
-ishshakwalua,kishshakwaluj,kishshakwalujket,kishshakwalujtuk,kishshakwalujtiwit
-istakewa,kistakew(ki) / kistakej(ki),kistakewket / kistakejket,kistakewtuk / kistakejtuk,kistakewtiwit / kistakejtiwit
istakmeya,istakmeshki / istakmeyak / istakmek,istakmeshket / istakmeyaket / istakmeket,istakmeshtuk / istakmeyatuk / istakmetuk,istakmeshtiwit / istakmeyatiwit / istakmetiwit
-istakmina,kistakmin(ki),kistakminket,kistakmintuk,kistakmintiwit
-makwawtilia,kimakwawtilij,kimakwawtilijket,kimakwawtilijtuk,kimakwawtilijtiwit
majmaijsiwi,majmaijsiw(ki) / majmaijsij(ki),majmaijsiwket / majmaijsijket,majmaijsiwtuk / majmaijsijtuk,majmaijsiwtiwit / majmaijsijtiwit
-majpilkwechakia,kimajpilkwechakij,kimajpilkwechakijket,kimajpilkwechakijtuk,kimajpilkwechakijtiwit
-mawiskwitia,kimawiskwitij,kimawiskwitijket,kimawiskwitijtuk,kimawiskwitijtiwit
-mawispulua,kimawispuluj,kimawispulujket,kimawispulujtuk,kimawispulujtiwit
-mawistilia,kimawistilij,kimawistilijket,kimawistilijtuk,kimawistilijtiwit
-mawisyutia,kimawisyutij,kimawisyutijket,kimawisyutijtuk,kimawisyutijtiwit
malakachiwi,malakachiwik,malakachiwket / malakachijket,malakachiwtuk / malakachijtuk,malakachiwtiwit / malakachijtiwit
-malakachua,kimalakachuj,kimalakachujket,kimalakachujtuk,kimalakachujtiwit
-matepachua,kimatepachuj,kimatepachujket,kimatepachujtuk,kimatepachujtiwit
-matapulultia,kimatapulultij,kimatapulultijket,kimatapulultijtuk,kimatapulultijtiwit
-matashkalwia,kimatashkalwij,kimatashkalwijket,kimatashkalwijtuk,kimatashkalwijtiwit
-matashkalua,kimatashkaluj,kimatashkalujket,kimatashkalujtuk,kimatashkalujtiwit
-mawkaitta,kimawkaittak,kimawkaittaket,kimawkaittatuk,kimawkaittatiwit
mashawtinemi,mashawtinenki / mashawtinemik,mashawtinenket / mashawtinemiket,mashawtinentuk / mashawtinemituk,mashawtinentiwit / mashawtinemitiwit
mashittumuni,mashittumunki / mashittumunik,mashittumunket / mashittumuniket,mashittumuntuk,mashittumuntiwit
-melawkapuwa,kimelawkapuw(ki) / kimelawkapuj(ki),kimelawkapuwket / kimelawkapujket,kimelawkapuwtuk / kimelawkapujtuk,kimelawkapuwtiwit / kimelawkapujtiwit
-metzwejwelua,kimetzwejweluj,kimetzwejwelujket,kimetzwejwelujtuk,kimetzwejwelujtiwit
-metztetzilua,kimetztetziluj,kimetztetzilujket,kimetztetzilujtuk,kimetztetzilujtiwit
miaktilia,miaktilij,miaktilijket,miaktilijtuk,miaktilijtiwit
mishteteika,mishteteikak,mishteteikaket,mishteteikatuk,mishteteikatiwit
mutewksuma,mutewksunki / mutewksumak,mutewksunket / mutewksumaket,mutewksuntuk / mutewksumatuk,mutewksuntiwit / mutewksumatiwit
-nakasikawika,kinakasikawikak,kinakasikawikaket,kinakasikawikatuk,kinakasikawikatiwit
-nakasikateka,kinakasikatekak,kinakasikatekaket,kinakasikatekatuk,kinakasikatekatiwit
-nakasitta,kinakasittak,kinakasittaket,kinakasittatuk,kinakasittatiwit
-nakaskejketza,kinakaskejketzki,kinakaskejketzket,kinakaskejketztuk,kinakaskejketztiwit
-nakastilana,kinakastilan(ki),kinakastilanket,kinakastilantuk,kinakastilantiwit
nakastitika,nakastitikak,nakastitikaket,nakastitikatuk,nakastitikatiwit
-nawatajtalwia,kinawatajtalwij,kinawatajtalwijket,kinawatajtalwijtuk,kinawatajtalwijtiwit
-nanankilia,kinanankilij,kinanankilijket,kinanankilijtuk,kinanankilijtiwit
-nekpachua,kinekpachuj,kinekpachujket,kinekpachujtuk,kinekpachujtiwit
-nejwiyanwia,kinejwiyanwij,kinejwiyanwijket,kinejwiyanwijtuk,kinejwiyanwijtiwit
nejnemtinemi,nejnemtinenki / nejnemtinemik,nejnemtinenket / nejnemtinemiket,nejnemtinentuk / nejnemtinemituk,nejnemtinentiwit / nejnemtinemitiwit
-newantilia,kinewantilij,kinewantilijket,kinewantilijtuk,kinewantilijtiwit
-nelkujkukua,kinelkujkukuj,kinelkujkukujket,kinelkujkukujtuk,kinelkujkukujtiwit
nemaktilia,nemaktilij,nemaktilijket,nemaktilijtuk,nemaktilijtiwit
-nenpewaltia,kinenpewaltij,kinenpewaltijket,kinenpewaltijtuk,kinenpewaltijtiwit
-nepanuwilia,kinepanuwilij,kinepanuwilijket,kinepanuwilijtuk,kinepanuwilijtiwit
-neshikulitta,kineshikulittak,kineshikulittaket,kineshikulittatuk,kineshikulittatiwit
-neskayutia,kineskayutij,kineskayutijket,kineskayutijtuk,kineskayutijtiwit
-nunkwajtalia,kinunkwajtalij,kinunkwajtalijket,kinunkwajtalijtuk,kinunkwajtalijtiwit
-nunkwajshelua,kinunkwajsheluj,kinunkwajshelujket,kinunkwajshelujtuk,kinunkwajshelujtiwit
-ujtipanketza,kiujtipanketzki / kiujtipanketzak,kiujtipanketzket / kiujtipanketzaket,kiujtipanketztuk / kiujtipanketzatuk,kiujtipanketztiwit / kiujtipanketzatiwit
pakkapuliwi,pakkapuliwik,pakkapuliwket / pakkapulijket,pakkapuliwtuk / pakkapulijtuk,pakkapuliwtiwit / pakkapulijtiwit
-pakkayuwia,kipakkayuwij,kipakkayuwijket,kipakkayuwijtuk,kipakkayuwijtiwit
-pachuwaswia,kipachuwaswij,kipachuwaswijket,kipachuwaswijtuk,kipachuwaswijtiwit
-panwetzitia,kipanwetzitij,kipanwetzitijket,kipanwetzitijtuk,kipanwetzitijtiwit
-pankishtia,kipankishtij,kipankishtijket,kipankishtijtuk,kipankishtijtiwit
-pakilismaka,kipakilismakak,kipakilismakaket,kipakilismakatuk,kipakilismakatiwit
-patzkalakia,kipatzkalakij,kipatzkalakijket,kipatzkalakijtuk,kipatzkalakijtiwit
pechtekilia,pechtekilij,pechtekilijket,pechtekilijtuk,pechtekilijtiwit
-pepechuwilia,kipepechuwilij,kipepechuwilijket,kipepechuwilijtuk,kipepechuwilijtiwit
-pepetztulua,kipepetztuluj,kipepetztulujket,kipepetztulujtuk,kipepetztulujtiwit
pitzawkasekwi,pitzawkasekki,pitzawkasekket,pitzawkasektuk,pitzawkasektiwit
pitzutajtua,pitzutajtuj,pitzutajtujket,pitzutajtujtuk,pitzutajtujtiwit
-piyasteteka,kipiyastetekak,kipiyastetekaket,kipiyastetekatuk,kipiyastetekatiwit
-puktemitia,kipuktemitij,kipuktemitijket,kipuktemitijtuk,kipuktemitijtiwit
-kechnawajteki,kikechnawajtek / kikechnawajtekik,kikechnawajtekket / kikechnawajtekiket,kikechnawajtektuk,kikechnawajtektiwit
-kechpanua,kikechpanuj,kikechpanujket,kikechpanujtuk,kikechpanujtiwit
-kechpanultia,kikechpanultij,kikechpanultijket,kikechpanultijtuk,kikechpanultijtiwit
-kechpatzua,kikechpatzuj,kikechpatzujket,kikechpatzujtuk,kikechpatzujtiwit
-kechtekuyawa,kikechtekuyaw(ki) / kikechtekuyaj(ki),kikechtekuyawket / kikechtekuyajket,kikechtekuyawtuk / kikechtekuyajtuk,kikechtekuyawtiwit / kikechtekuyajtiwit
ketzalwituliwi,ketzalwituliwik,ketzalwituliwket / ketzalwitulijket,ketzalwituliwtuk / ketzalwitulijtuk,ketzalwituliwtiwit / ketzalwitulijtiwit
kijtusneki,kijtusnekik,kijtusnekiket,kijtusnektuk,kijtusnektiwit
tekpantuki,tekpantukik,tekpantukiket,tekpantuktuk,tekpantuktiwit
tewitekuni,tewitekunki / tewitekunik,tewitekunket / tewitekuniket,tewitekuntuk,tewitekuntiwit
-tenpajpalua,kitenpajpaluj,kitenpajpalujket,kitenpajpalujtuk,kitenpajpalujtiwit
-tenpatilia,kitenpatilij,kitenpatilijket,kitenpatilijtuk,kitenpatilijtiwit
-tenpewaltia,kitenpewaltij,kitenpewaltijket,kitenpewaltijtuk,kitenpewaltijtiwit
-tenpujpulua,kitenpujpuluj,kitenpujpulujket,kitenpujpulujtuk,kitenpujpulujtiwit
-tenchaltejteki,kitenchaltejtek / kitenchaltejtekik,kitenchaltejtekket / kitenchaltejtekiket,kitenchaltejtektuk,kitenchaltejtektiwit
-tenkishtia,kitenkishtij,kitenkishtijket,kitenkishtijtuk,kitenkishtijtiwit
-tentajtatia,kitentajtatij,kitentajtatijket,kitentajtatijtuk,kitentajtatijtiwit
-tentapikia,kitentapikij,kitentapikijket,kitentapikijtuk,kitentapikijtiwit
-tentapua,kitentapuj,kitentapujket,kitentapujtuk,kitentapujtiwit
-tentzunpijpi,kitentzunpijpij,kitentzunpijpijket,kitentzunpijpijtuk,kitentzunpijpijtiwit
tentzunyuwa,tentzunyuwki / tentzunyujki,tentzunyuwket / tentzunyujket,tentzunyuwtuk / tentzunyujtuk,tentzunyuwtiwit / tentzunyujtiwit
-teukwitawia,kiteukwitawij,kiteukwitawijket,kiteukwitawijtuk,kiteukwitawijtiwit
teupishkati,teupishkatki / teupishkatik,teupishkatket / teupishkatiket,teupishkattuk / teupishkatituk,teupishkattiwit / teupishkatitiwit
tepantzikwini,tepantzikwinki / tepantzikwinik,tepantzikwinket / tepantzikwiniket,tepantzikwintuk,tepantzikwintiwit
tepitzintia,tepitzintij,tepitzintijket,tepitzintijtuk,tepitzintijtiwit
tepunasua,tepunasuj,tepunasujket,tepunasujtuk,tepunasujtiwit
tepustalua,tepustaluj,tepustalujket,tepustalujtuk,tepustalujtiwit
-tekipachua,kitekipachuj,kitekipachujket,kitekipachujtuk,kitekipachujtiwit
-tekipachulmaka,kitekipachulmakak,kitekipachulmakaket,kitekipachulmakatuk,kitekipachulmakatiwit
-tekipachultia,kitekipachultij,kitekipachultijket,kitekipachultijtuk,kitekipachultijtiwit
-tekipanua,kitekipanuj,kitekipanujket,kitekipanujtuk,kitekipanujtiwit
-tetekwinua,kitetekwinuj,kitetekwinujket,kitetekwinujtuk,kitetekwinujtiwit
tetamajmakani,tetamajmakanki / tetamajmakanik,tetamajmakanket / tetamajmakaniket,tetamajmakantuk,tetamajmakantiwit
-tetzawitta,kitetzawittak,kitetzawittaket,kitetzawittatuk,kitetzawittatiwit
tewktajtua,tewktajtuj,tewktajtujket,tewktajtujtuk,tewktajtujtiwit
tewyujtiwi,tewyujtiwik,tewyujtiwket / tewyujtijket,tewyujtiwtuk / tewyujtijtuk,tewyujtiwtiwit / tewyujtijtiwit
teskatepuka,teskatepukak,teskatepukaket,teskatepukatuk,teskatepukatiwit
-tijtikwinaltia,kitijtikwinaltij,kitijtikwinaltijket,kitijtikwinaltijtuk,kitijtikwinaltijtiwit
-timumutzua,kitimumutzuj,kitimumutzujket,kitimumutzujtuk,kitimumutzujtiwit
takakkunemi,takakkunenki / takakkunemik,takakkunenket / takakkunemiket,takakkunentuk / takakkunemituk,takakkunentiwit / takakkunemitiwit
-takalakilia,kitakalakilij,kitakalakilijket,kitakalakilijtuk,kitakalakilijtiwit
takamanelua,takamaneluj,takamanelujket,takamanelujtuk,takamanelujtiwit
takaskaltia,takaskaltij,takaskaltijket,takaskaltijtuk,takaskaltijtiwit
-tasesewilia,kitasesewilij,kitasesewilijket,kitasesewilijtuk,kitasesewilijtiwit
takuchmelawa,takuchmelawki / takuchmelajki,takuchmelawket / takuchmelajket,takuchmelawtuk / takuchmelajtuk,takuchmelawtiwit / takuchmelajtiwit
-takutunaltia,kitakutunaltij,kitakutunaltijket,kitakutunaltijtuk,kitakutunaltijtiwit
takwaatekia,takwaatekij,takwaatekijket,takwaatekijtuk,takwaatekijtiwit
-takwalchiwilia,kitakwalchiwilij,kitakwalchiwilijket,kitakwalchiwilijtuk,kitakwalchiwilijtiwit
takwawtilia,takwawtilij,takwawtilijket,takwawtilijtuk,takwawtilijtiwit
takwashepujwia,takwashepujwij,takwashepujwijket,takwashepujwijtuk,takwashepujwijtiwit
taekawilwia,taekawilwij,taekawilwijket,taekawilwijtuk,taekawilwijtiwit
-tajkakakitia,kitajkakakitij,kitajkakakitijket,kitajkakakitijtuk,kitajkakakitijtiwit
-tajtakakitia,kitajtakakitij,kitajtakakitijket,kitajtakakitijtuk,kitajtakakitijtiwit
taijtakua,taijtakuj,taijtakujket,taijtakujtuk,taijtakujtiwit
taijtakulkawa,taijtakulkawki / taijtakulkajki,taijtakulkawket / taijtakulkajket,taijtakulkawtuk / taijtakulkajtuk,taijtakulkawtiwit / taijtakulkajtiwit
taijtakulchiwa,taijtakulchiwki / taijtakulchijki,taijtakulchiwket / taijtakulchijket,taijtakulchiwtuk / taijtakulchijtuk,taijtakulchiwtiwit / taijtakulchijtiwit
-taijtakulmaka,kitaijtakulmakak,kitaijtakulmakaket,kitaijtakulmakatuk,kitaijtakulmakatiwit
tajtaijkwania,tajtaijkwanij,tajtaijkwanijket,tajtaijkwanijtuk,tajtaijkwanijtiwit
tajtaijtua,tajtaijtuj,tajtaijtujket,tajtaijtujtuk,tajtaijtujtiwit
tajtaijtzumia,tajtaijtzumij,tajtaijtzumijket,tajtaijtzumijtuk,tajtaijtzumijtiwit
-taijtulkutuna,kitaijtulkutun(ki),kitaijtulkutunket,kitaijtulkutuntuk,kitaijtulkutuntiwit
tawankatzajtzi,tawankatzajtzik,tawankatzajtziket,tawankatzajtzituk,tawankatzajtzitiwit
-tawelkwepilia,kitawelkwepilij,kitawelkwepilijket,kitawelkwepilijtuk,kitawelkwepilijtiwit
tawelilukati,tawelilukatki / tawelilukatik,tawelilukatket / tawelilukatiket,tawelilukattuk / tawelilukatituk,tawelilukattiwit / tawelilukatitiwit
-tawetzkitia,kitawetzkitij,kitawetzkitijket,kitawetzkitijtuk,kitawetzkitijtiwit
-tawijwikaltia,kitawijwikaltij,kitawijwikaltijket,kitawijwikaltijtuk,kitawijwikaltijtiwit
-taijyelitta,kitaijyelittak,kitaijyelittaket,kitaijyelittatuk,kitaijyelittatiwit
-taijyuwiltia,kitaijyuwiltij,kitaijyuwiltijket,kitaijyuwiltijtuk,kitaijyuwiltijtiwit
taishelewia,taishelewij,taishelewijket,taishelewijtuk,taishelewijtiwit
taiswateka,taiswatekak,taiswatekaket,taiswatekatuk,taiswatekatiwit
-talnamiktia,kitalnamiktij,kitalnamiktijket,kitalnamiktijtuk,kitalnamiktijtiwit
-talpujpushua,kitalpujpushuj,kitalpujpushujket,kitalpujpushujtuk,kitalpujpushujtiwit
-tamachtalia,kitamachtalij,kitamachtalijket,kitamachtalijtuk,kitamachtalijtiwit
-tamajsewaltia,kitamajsewaltij,kitamajsewaltijket,kitamajsewaltijtuk,kitamajsewaltijtiwit
tamawisua,tamawisuj,tamawisujket,tamawisujtuk,tamawisujtiwit
-tamawisultia,kitamawisultij,kitamawisultijket,kitamawisultijtuk,kitamawisultijtiwit
tamawisutia,tamawisutij,tamawisutijket,tamawisutijtuk,tamawisutijtiwit
-tamanisua,kitamanisuj,kitamanisujket,kitamanisujtuk,kitamanisujtiwit
-tamanshelua,kitamansheluj,kitamanshelujket,kitamanshelujtuk,kitamanshelujtiwit
tamatkanemi,tamatkanenki / tamatkanemik,tamatkanenket / tamatkanemiket,tamatkanentuk / tamatkanemituk,tamatkanentiwit / tamatkanemitiwit
